MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,RMS,Zero_Crossing_Rate,label
129.51825,40.258034,-8.204832,5.995068,-9.097204,-9.133554,-9.827164,-12.838023,-13.544207,-7.3463254,-1.961645,0.65396935,3.3223157,0.30830136,0.47069415,0.43338665,0.3126601,0.28003964,0.19572031,0.13005435,0.1611096,0.2164219,0.21636039,0.25524998,0.2420042,0.9891411,0.08685216769366197,elif
-305.18762,128.44185,-24.638737,21.635967,43.336746,8.830947,-26.867956,-14.48049,-13.16721,-8.665671,-13.4294815,-19.216139,-25.615957,0.44010055,0.54503614,0.44782087,0.3321948,0.26094246,0.17523816,0.14616172,0.18169059,0.20802571,0.23214278,0.26629686,0.3269717,0.09311136,0.048474900265957445,elif
-267.41888,223.20789,-41.477875,-43.373493,6.00651,0.24723005,-23.59397,0.6344549,-6.393277,-7.759552,-6.313618,4.7019987,-15.07885,0.44935355,0.39441672,0.31639725,0.3426055,0.40924066,0.26957494,0.2615705,0.42417878,0.6974155,0.64699656,0.49851948,0.43956906,0.08480457,0.03681640625,elif
-354.40475,151.23073,-31.327417,-4.47106,21.126604,-12.889453,-12.777763,-3.8386457,-14.024183,-8.801855,-9.048477,-17.638926,-10.480357,0.37750435,0.4726756,0.5016227,0.5152286,0.43995443,0.45830542,0.46303782,0.43790507,0.4249319,0.3893254,0.36858806,0.37284675,0.06726443,0.0700367115162037,elif
150.65834,51.654537,-8.912963,7.7317805,-4.214953,-3.875425,-4.166396,-7.234814,-7.42154,-9.01423,-7.9823833,-4.4456434,-5.754518,0.41305432,0.48130122,0.49391013,0.49987933,0.4487542,0.4349617,0.43683466,0.39819396,0.43778893,0.54169,0.5530971,0.48179808,0.98861265,0.10223646566901408,elif
-368.31638,157.99474,-8.837207,-17.367247,22.323793,8.929483,-13.456636,-0.2700157,-6.5431957,-9.191888,-4.7800326,-2.2207706,-13.577603,0.5158168,0.48269448,0.42842212,0.41320372,0.39949965,0.3692166,0.390343,0.40605092,0.48687863,0.5046449,0.54330164,0.4795246,0.06682736,0.06007590868794326,elif
-360.5819,174.49783,5.3365846,-21.115957,-2.5240154,-9.143629,-6.6720414,7.675441,-6.5854597,-13.599652,0.29230425,0.7533879,-14.30242,0.37247643,0.7872334,0.5215701,0.25523868,0.13967894,0.13671038,0.10821182,0.19830634,0.607572,0.3170691,0.12943187,0.1930517,0.054339193,0.02593418337264151,elif
-447.119,142.0263,86.56058,56.80858,36.187492,15.546467,12.075494,19.027882,15.119863,5.21867,-0.5303288,-2.2913914,1.3743321,0.6833952,0.6742477,0.70827204,0.77469456,0.7829971,0.7858079,0.79322517,0.76639616,0.6858411,0.63380545,0.6762151,0.71456236,0.10044269,0.005114914632642998,elif
112.24609,56.476463,-13.536199,3.6095512,-0.9071259,-0.8205817,-6.6360006,-9.853921,-12.93626,-11.859729,-7.454156,-2.5451057,0.86432266,0.35374779,0.5281341,0.2577465,0.12201117,0.15479217,0.34003332,0.30942044,0.1924514,0.32546416,0.21995224,0.12958801,0.12190981,0.9893032,0.03461982834507042,elif
-363.13635,180.64401,27.617939,-11.255745,3.6904314,5.6397963,0.7795678,7.7767344,-7.325724,-12.584696,-7.3734865,-9.685457,-18.150938,0.2970742,0.5249267,0.3889127,0.23767829,0.19417937,0.30247912,0.395204,0.3135134,0.32893458,0.27721643,0.17615648,0.2000139,0.10287631,0.01842482546542553,elif
-341.8024,181.42398,9.477491,-3.534561,28.790958,8.895488,-14.178224,-5.1289277,-7.3933635,-10.464626,-9.727743,-13.91495,-15.797892,0.32654992,0.24612705,0.13225545,0.13967316,0.2070816,0.26672643,0.3273586,0.46455958,0.62226087,0.5382622,0.5285701,0.42913094,0.089238316,0.021840688344594593,elif
-380.66916,181.63432,50.02027,-1.2556485,7.244107,26.344889,20.620893,3.3793566,1.9252896,2.1558285,-2.2607222,-3.3189957,-1.1199832,0.6671855,0.6855021,0.612743,0.51804984,0.44021273,0.2981249,0.2195888,0.24150886,0.32443285,0.39392018,0.50878537,0.6331033,0.084277876,0.013711353058510638,elif
134.60107,65.47328,-11.7253895,3.6517372,-4.150866,-4.611583,-5.692593,-6.067474,-8.120003,-6.994727,-5.6915655,-5.60384,-4.1940355,0.28261444,0.23766676,0.14671537,0.15392023,0.22086555,0.21946165,0.24710317,0.37435272,0.5974861,0.49759415,0.42777228,0.33382678,0.9892819,0.04479120818661972,elif
-342.4007,178.71922,11.124766,-2.6459064,27.032576,10.945449,-13.11806,-6.2219076,-7.3398194,-10.451939,-11.166086,-14.223811,-15.986491,0.3330168,0.24964805,0.14176756,0.121501125,0.18004306,0.22252224,0.2798871,0.4146842,0.62374735,0.56560254,0.52994287,0.41454992,0.08575022,0.02319855385638298,elif
-406.3898,117.22913,3.268045,16.40536,28.071089,20.934923,-21.483202,-7.9047956,-10.772452,3.4267101,-9.703888,-14.742539,-16.836216,0.44769564,0.65740967,0.460467,0.32648608,0.28308642,0.24957128,0.22662841,0.18958026,0.23379204,0.26083896,0.2742313,0.3270635,0.03628366,0.06604516806722689,elif
-367.03644,91.40324,-12.166348,12.915759,-39.422054,-35.25414,-8.1182165,-28.130548,-26.470797,-9.027403,-9.851373,-10.315454,9.091445,0.18259288,0.21585798,0.20237575,0.3482108,0.6173861,0.28090566,0.18420199,0.22303033,0.2165112,0.119492374,0.07604999,0.15052073,0.041981842,0.11075846354166667,elif
135.79306,46.047626,-3.0607579,7.1550875,-3.7127805,-6.4922867,-5.6456265,-7.1751504,-12.930209,-9.0610485,-4.0899024,-5.6510186,-1.487555,0.35245308,0.613172,0.38565704,0.23666456,0.2914333,0.2802801,0.20356493,0.1474239,0.21412052,0.23271829,0.2583376,0.24952908,0.98842096,0.10625962808098592,elif
-406.9803,116.387024,1.6228486,15.788952,29.618399,20.967161,-21.957445,-7.7005935,-11.029458,3.4058888,-9.66197,-14.940049,-17.21587,0.45826283,0.6543714,0.43931997,0.30523857,0.2725083,0.2685728,0.23923005,0.19295925,0.23839211,0.2603513,0.27344373,0.3366294,0.03933725,0.06814120678191489,elif
-454.95953,148.45146,17.441467,26.35013,42.09164,23.80831,-8.602934,-11.772027,-12.165471,-10.204296,-11.778423,-3.603612,-13.977651,0.17383124,0.101837754,0.10522729,0.175119,0.2735785,0.50899726,0.7806398,0.6425354,0.37734777,0.2548609,0.21378171,0.26900697,0.025305867,0.022590188419117647,elif
-382.74335,123.42498,-14.343748,0.49512526,-40.557995,-33.547752,-6.9582133,-10.956666,-12.331507,-18.516977,-10.126921,-7.0978775,-19.840216,0.46960098,0.2800295,0.2278302,0.13613652,0.06233742,0.03007848,0.058858667,0.0464445,0.06601263,0.19749358,0.30632576,0.54178053,0.036258813,0.0570556640625,elif
123.86375,56.469727,-11.667879,1.4706786,-5.99959,-5.1289887,-5.6731815,-4.2113876,-5.2334285,-5.1724105,-5.127439,-4.4259458,-4.1810455,0.13163806,0.088782534,0.06441877,0.11126193,0.09145718,0.15183064,0.25912517,0.3719709,0.5671171,0.43727183,0.28519493,0.2264589,0.98918194,0.049990371919014086,elif
-431.64102,142.88768,22.290545,16.49665,29.151772,14.877045,-13.742033,-9.418937,-16.591883,-15.037809,-10.398041,-0.88969475,-9.169079,0.16482839,0.07339865,0.05710184,0.12161024,0.107428,0.16534308,0.32213402,0.4952786,0.6619432,0.5212997,0.40005133,0.30972704,0.03497106,0.027871855607269503,elif
-325.9951,99.97579,-0.14441687,45.845844,20.761583,25.468788,-13.797958,-10.874602,-3.1576784,5.3289633,-12.879613,-20.106138,-16.771671,0.58665174,0.47502044,0.3240847,0.22619218,0.18472232,0.22366723,0.3134061,0.422003,0.5469164,0.63786924,0.6180449,0.5481226,0.03784145,0.061851626536885244,elif
-376.0796,173.15222,28.617123,-9.541213,10.191473,43.658974,41.033936,9.103289,2.2546904,1.9206259,-3.3829544,-8.877109,-4.779917,0.5803466,0.5960271,0.5255148,0.4731615,0.3963148,0.3105152,0.24824734,0.2486667,0.3068621,0.4457479,0.56012523,0.581186,0.08418674,0.018313512145748986,elif
129.87325,51.20656,-8.488799,6.869125,-7.0895696,-8.103215,-4.684001,-7.01711,-11.834065,-8.372037,-5.4979744,-4.6170874,-4.2707734,0.31537947,0.27083984,0.13650255,0.10504052,0.15315796,0.13728018,0.22799703,0.3431041,0.5420237,0.4769733,0.2814002,0.30086043,0.9892968,0.06199108714788732,elif
-339.6055,157.50833,-4.84912,15.138253,53.21911,15.208496,-28.81907,-8.850924,-4.272703,-7.129934,-8.247465,-12.791128,-22.320675,0.372746,0.35202456,0.25345123,0.1275566,0.13042805,0.15041934,0.2378554,0.36072707,0.5055129,0.5788165,0.4651086,0.39654166,0.08552499,0.032981493794326244,elif
-517.765,92.63401,-11.692964,13.81565,41.595222,11.043045,-11.408355,-0.22503787,-0.13431384,3.549793,2.3802905,-4.792027,-11.885126,0.5933798,0.8961042,0.43434918,0.19501477,0.16927034,0.23181726,0.26277736,0.2823389,0.30993068,0.27724236,0.3024382,0.34513953,0.011559572,0.09932921362704918,elif
-425.9829,128.89061,-10.49901,27.790579,4.833797,-32.171642,3.1067348,-12.655019,-18.48427,-7.7623773,-4.9495525,3.5657032,-9.396258,0.30269915,0.22792834,0.3167004,0.4244849,0.4025631,0.32480663,0.29621294,0.2867276,0.27977234,0.2596162,0.43786687,0.585636,0.031957135,0.08446670160060976,elif
143.18152,51.8515,-3.1117003,10.928422,-4.5589156,-7.197504,-2.3078048,-2.0794399,-4.429415,-2.0329254,-0.35171822,-3.409947,-3.603204,0.32941398,0.5704017,0.541184,0.3052281,0.32268667,0.43766618,0.4844753,0.40932003,0.31677714,0.2946941,0.3213173,0.29709107,0.98840576,0.10143871038732394,elif
-450.86026,133.25496,8.134682,8.2513895,37.850174,13.821568,-18.241592,5.947418,0.33240184,-1.6975764,-5.283744,-8.726774,-15.486652,0.48792693,0.5940481,0.35138875,0.2478373,0.30874655,0.40315264,0.45546755,0.40813226,0.3700314,0.32519427,0.32457277,0.3262772,0.03166533,0.059978945035460994,elif
-340.7226,145.47443,-3.7477894,10.828335,28.474121,13.1381035,-23.905556,-6.0457897,-8.458669,-1.6986029,-12.058357,-17.24667,-24.595615,0.37047172,0.45090494,0.3762707,0.36164594,0.4030903,0.3256881,0.27831805,0.29549807,0.3253961,0.32349977,0.3977567,0.35127357,0.07132247,0.043595938846982756,elif
-381.16653,162.63733,21.10548,4.300969,4.7603216,26.91774,30.089909,6.2318783,3.8654685,-4.6881504,-6.3543253,-6.492446,-0.83131385,0.39733484,0.4637861,0.45607013,0.5478005,0.5546414,0.47440326,0.5077444,0.45536193,0.38246438,0.37109667,0.36000645,0.3241533,0.070947625,0.02297087638608871,elif
132.20816,48.558914,-10.087195,4.08776,-4.648516,-6.667724,-9.937269,-11.760872,-15.9669895,-11.670131,-3.589483,0.5750672,3.0036983,0.2851325,0.3475549,0.3767707,0.31411615,0.4465328,0.35691467,0.2361573,0.23902592,0.28355718,0.31134224,0.3285668,0.33823577,0.9892304,0.0747895576584507,elif
-342.8271,147.37387,-2.6157868,9.271874,28.166872,13.789642,-23.692886,-6.811444,-7.939879,-1.1572151,-12.254385,-17.046276,-24.090557,0.36724082,0.46123493,0.4115658,0.3773804,0.42227337,0.3178188,0.25175172,0.2674697,0.2998327,0.289146,0.36507103,0.34770054,0.07263849,0.042173994348404256,elif
-358.96924,145.96832,-5.9482417,16.194706,44.269928,20.563429,-26.098019,-5.8249216,-10.742791,-2.0391288,-9.827333,-14.232939,-18.765865,0.3333759,0.28181273,0.21023624,0.16744238,0.26578596,0.41607025,0.5782855,0.6021693,0.47713894,0.38453516,0.35889867,0.2923499,0.055190627,0.04856095224056604,elif
-329.05597,136.8891,-18.60619,40.127243,12.362016,-47.09152,-13.195456,-10.346447,-19.437445,-20.010708,-16.91758,-4.9143567,-12.40195,0.15701394,0.28451815,0.384336,0.56215674,0.5306492,0.36782444,0.31351086,0.28379077,0.25814706,0.23128076,0.1748576,0.118711226,0.060357116,0.06387606534090909,elif
138.83725,52.61619,-6.083968,7.4920526,-6.922566,-8.01781,-4.8097777,-7.3358874,-10.408644,-6.830964,-4.134006,-4.813659,-2.571405,0.24426162,0.204506,0.19635406,0.15529525,0.20707081,0.31824148,0.41365746,0.57487226,0.50540876,0.37734535,0.31399137,0.309465,0.98921645,0.08077959947183098,elif
-356.2657,151.1337,-6.869488,13.841153,47.90475,20.085861,-26.199976,-5.3302565,-10.802567,-3.7342105,-9.309322,-14.305889,-18.049608,0.3152217,0.27755323,0.22382279,0.1919756,0.28507027,0.40166414,0.5930164,0.6380699,0.50508577,0.38816336,0.3501249,0.29094797,0.05996519,0.045704510195035464,elif
-310.79614,172.074,-38.667362,0.1523994,55.602287,21.21619,-32.773464,-13.684402,-5.616925,-1.2839197,-9.422003,-15.501771,-25.478893,0.5630363,0.3247086,0.24713084,0.07658057,0.12019063,0.35934454,0.5087615,0.46889225,0.42218658,0.40295318,0.36197618,0.39730763,0.06454438,0.046351841517857144,elif
-427.85486,179.50969,63.39173,20.125172,-8.692523,-18.02891,14.789979,29.280918,19.136967,18.588625,15.474605,16.274378,14.2394705,0.6983123,0.6408277,0.5596618,0.49373624,0.50246185,0.5235542,0.549444,0.4189566,0.35361734,0.43201303,0.57057655,0.66391546,0.06414564,0.014078776041666666,elif
142.04523,51.796703,-10.330902,5.9576297,-11.318557,-13.528244,-9.924717,-7.0017796,-6.870915,-2.01008,0.07000496,-2.7506452,-4.68876,0.22871985,0.17450845,0.13946809,0.15126194,0.18349765,0.3128842,0.5670461,0.53532654,0.35535514,0.31167796,0.41537666,0.35587955,0.9892183,0.07621313820422536,elif
-350.89728,165.26373,-8.280537,3.3770797,54.46446,21.160212,-32.65693,-12.436029,-11.455713,-6.9783487,-9.922351,-14.4801445,-20.522976,0.29237083,0.19181353,0.13245195,0.14710073,0.24394412,0.5066385,0.5983686,0.42750695,0.33757728,0.36678848,0.41719213,0.3421404,0.06636432,0.041219941267730494,elif
-428.29608,124.20041,2.7908328,11.5704,46.522327,19.239712,-17.469948,-3.2761738,-9.899545,-5.653103,0.22886208,-1.7969353,-11.9677,0.4691757,0.40839103,0.35054153,0.3788186,0.35893357,0.3665007,0.3934598,0.48237777,0.6683964,0.6280285,0.5636499,0.45772806,0.043476462,0.07036867394911504,elif
-482.25345,119.20797,56.97653,29.259434,12.455693,-7.6614056,-7.2959023,10.789927,15.038169,12.342031,10.83563,8.862823,10.644755,0.71331376,0.72718847,0.67563194,0.62635607,0.5928969,0.551985,0.5606523,0.52858424,0.51550454,0.57060254,0.64708567,0.711748,0.04423119,0.018254833893784787,elif
143.69853,50.759296,3.2097764,10.390223,-4.95968,-5.2028003,-1.8710147,-4.2894626,-5.7630897,-8.16785,-7.269674,-7.7851853,-10.280209,0.41125512,0.41528785,0.49328586,0.44514945,0.30329776,0.26742464,0.30165836,0.39460722,0.6610097,0.5565865,0.42709553,0.37884223,0.987838,0.10825401628521127,elif
-420.0407,123.643684,2.0541983,10.32104,46.283497,18.975378,-16.79682,-4.4861097,-8.690307,-6.0015144,-1.2140757,-3.4915295,-12.189826,0.47101253,0.38197973,0.33864313,0.3613935,0.34110612,0.36485422,0.3946373,0.5238427,0.66620594,0.6203099,0.5583447,0.45900586,0.046114415,0.07215480939716312,elif
-311.68616,201.27675,-0.37012577,-13.575987,15.557495,-6.6880474,-20.034054,8.888607,-2.6889045,-11.758557,-9.979732,-15.885793,-21.6277,0.3287867,0.36733782,0.31935295,0.4696423,0.6024574,0.44007465,0.34838575,0.38772157,0.5030034,0.57696563,0.5372942,0.34464172,0.08389574,0.02834903492647059,elif
-396.82562,114.385284,67.27227,24.725866,3.6418905,3.5219882,12.241866,15.19866,9.30121,3.7528057,4.5751724,9.295632,11.42513,0.48303676,0.49663597,0.52682865,0.5783496,0.6441667,0.7304534,0.71882945,0.6322552,0.6159218,0.58213246,0.57501733,0.52900344,0.10211172,0.019583072302476415,elif
143.3063,56.12568,-3.887479,6.2230687,-2.1493664,-3.5491772,-7.2484922,-8.172199,-8.899388,-7.5499964,-2.926274,-3.3132927,-4.380839,0.39341527,0.5158632,0.46534836,0.5423499,0.49335077,0.37030137,0.33168235,0.29348442,0.2979411,0.32900387,0.3405702,0.332686,0.9880122,0.08901848591549295,elif
-350.2983,137.35129,6.11848,-4.2786417,22.653227,4.8558702,-9.145674,-1.5159605,-5.5753174,-6.4146495,-2.0120153,-11.408029,-17.73105,0.41240484,0.544997,0.4908673,0.5215565,0.53663045,0.42495772,0.3561814,0.3176483,0.30457687,0.33223593,0.36748227,0.36281562,0.10441407,0.06196496841755319,elif
-324.09683,186.16515,-4.3425393,-2.8131604,31.527039,20.44441,-10.258118,0.7509486,-5.9356875,0.81821495,-4.618168,-13.935827,-17.051613,0.61092275,0.5800488,0.48540437,0.3102438,0.26200646,0.28799462,0.33113477,0.36823335,0.41030827,0.46726626,0.5399762,0.5781503,0.05795116,0.025028935185185185,elif
-353.02493,203.95107,17.388409,-11.63142,18.54588,46.530674,3.66447,-1.7397492,-1.1025395,-10.663973,-6.168163,1.7715638,-1.491846,0.37064117,0.35846844,0.3760286,0.47190747,0.64812565,0.6425496,0.5746949,0.49283054,0.39546245,0.3584638,0.3322382,0.3474666,0.079630956,0.020444719978932584,elif
144.62772,69.94408,-8.485928,9.0031185,-3.2165427,-5.2976556,-4.227755,-4.694971,-8.206345,-8.302445,-5.7992816,-4.027441,-3.5274882,0.27022457,0.25649574,0.22965452,0.32607463,0.34072462,0.24957079,0.25086918,0.39452654,0.63498545,0.6026845,0.41012153,0.28905392,0.9892834,0.050526793573943664,elif
-328.48013,193.20418,3.9081266,-8.703414,40.720345,28.403269,-18.59821,-1.4645561,-12.647427,-5.459585,-2.7243292,-6.12896,-18.847393,0.33151847,0.28175494,0.28933936,0.33065188,0.32643288,0.30365872,0.36306286,0.48474196,0.66532415,0.5918128,0.4728507,0.35967907,0.08031312,0.026249445921985817,elif
-339.58212,133.32977,-15.71238,5.3268456,35.927097,20.43182,-10.206481,-3.962299,-8.890469,-2.374187,-0.34997222,-5.2797832,-19.572803,0.52860856,0.639936,0.5193088,0.4962844,0.41103938,0.32951397,0.25821224,0.20779788,0.2509261,0.28866023,0.3635017,0.39986345,0.06354995,0.06241414835164835,elif
-357.39636,141.85889,-11.12803,-9.894204,25.233908,35.773773,8.888675,-1.5798193,-1.8311254,-7.763443,-5.1057305,4.0942163,5.3500347,0.37942705,0.2958242,0.21556129,0.23160057,0.28582555,0.33278087,0.41837507,0.54834574,0.63631505,0.503744,0.5070547,0.42801306,0.06068403,0.047640865796232876,elif
142.48572,42.78925,-6.028709,14.801177,-1.5370029,-7.301354,-4.067264,-5.892117,-12.665669,-11.169034,-4.909826,-2.1921732,-4.3108807,0.56933206,0.4969588,0.51696837,0.44429207,0.30692804,0.2624187,0.22684303,0.2046738,0.27663034,0.289151,0.3098241,0.3565853,0.98601866,0.11353824013157894,elif
-341.44263,127.90234,-21.566717,4.782528,39.854874,19.513123,-11.886318,-4.78307,-7.4597006,-2.6736188,0.33483127,-5.240598,-21.193653,0.54160184,0.6076298,0.48061305,0.47591072,0.39638638,0.30349395,0.24732679,0.18799125,0.22815427,0.2735066,0.32755232,0.37818772,0.06150879,0.06504079092920353,elif
